"","lon","lat","name","description","station_id","ADA","Red","Blue","Brn","G","P","Pexp","Y","Pink","Org"
"1",-87.776812,41.870851,"Austin","Austin (Blue Line)","s_40010",0,0,1,0,0,0,0,0,0,0
"2",-87.803176,41.886848,"Harlem/Lake","Harlem/Lake (Green Line)","s_40020",1,0,0,0,1,0,0,0,0,0
"3",-87.725404,41.885412,"Pulaski","Pulaski (Green Line)","s_40030",1,0,0,0,1,0,0,0,0,0
"4",-87.63374,41.878723,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)","s_40040",0,0,0,0,0,0,1,0,1,1
"5",-87.683543,42.04771,"Davis","Davis (Purple Line)","s_40050",1,0,0,0,0,1,1,0,0,0
"6",-87.712359,41.938132,"Belmont","Belmont (Blue Line)","s_40060",0,0,1,0,0,0,0,0,0,0
"7",-87.629296,41.878183,"Jackson","Jackson (Blue Line)","s_40070",1,0,1,0,0,0,0,0,0,0
"8",-87.654929,41.953775,"Sheridan","Sheridan (Red Line)","s_40080",0,1,0,0,0,0,0,0,0,0
"9",-87.678639,41.966286,"Damen","Damen (Brown Line)","s_40090",1,0,0,1,0,0,0,0,0,0
"10",-87.665909,42.008362,"Morse","Morse (Red Line)","s_40100",0,1,0,0,0,0,0,0,0,0
"11",-87.680622,41.829353,"35th/Archer","35th/Archer (Orange Line)","s_40120",1,0,0,0,0,0,0,0,0,1
"12",-87.618487,41.80209,"51st","51st (Green Line)","s_40130",1,0,0,0,1,0,0,0,0,0
"13",-87.751919,42.038951,"Dempster-Skokie","Dempster-Skokie  (Yellow Line)","s_40140",1,0,0,0,0,0,0,1,0,0
"14",-87.724311,41.853732,"Pulaski","Pulaski (Pink Line)","s_40150",1,0,0,0,0,0,0,0,1,0
"15",-87.631739,41.8768,"LaSalle/Van Buren","LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)","s_40160",0,0,0,1,0,0,0,0,0,0
"16",-87.666969,41.885269,"Ashland","Ashland (Green & Pink Lines)","s_40170",1,0,0,0,1,0,0,0,1,0
"17",-87.791602,41.872108,"Oak Park","Oak Park (Blue Line)","s_40180",0,0,1,0,0,0,0,0,0,0
"18",-87.630636,41.831191,"Sox-35th","Sox-35th (Red Line)","s_40190",1,1,0,0,0,0,0,0,0,0
"19",-87.626149,41.884431,"Randolph/Wabash","Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)","s_40200",0,0,0,1,1,0,0,0,0,0
"20",-87.675975,41.854517,"Damen","Damen (Pink Line)","s_40210",1,0,0,0,0,0,0,0,1,0
"21",-87.688436,41.875478,"Western","Western (Blue Line - Forest Park Branch)","s_40220",0,0,1,0,0,0,0,0,0,0
"22",-87.838028,41.984246,"Cumberland","Cumberland (Blue Line)","s_40230",1,0,1,0,0,0,0,0,0,0
"23",-87.625112,41.750419,"79th","79th (Red Line)","s_40240",1,1,0,0,0,0,0,0,0,0
"24",-87.70604,41.874341,"Kedzie-Homan","Kedzie-Homan (Blue Line)","s_40250",1,0,1,0,0,0,0,0,0,0
"25",-87.627835,41.88574,"State/Lake","State/Lake (Brown, Green, Orange, Pink & Purple Lines)","s_40260",0,0,0,1,1,0,0,0,0,0
"26",-87.679538,42.033456,"Main","Main (Purple Line)","s_40270",0,0,0,0,0,1,1,0,0,0
"27",-87.76565,41.887389,"Central","Central (Green Line)","s_40280",1,0,0,0,1,0,0,0,0,0
"28",-87.663766,41.77886,"Ashland/63rd","Ashland/63rd (Green Line)","s_40290",1,0,0,0,1,0,0,0,0,0
"29",-87.621371,41.821732,"Indiana","Indiana (Green Line)","s_40300",1,0,0,0,1,0,0,0,0,0
"30",-87.684019,41.804546,"Western","Western (Orange Line)","s_40310",1,0,0,0,0,0,0,0,0,1
"31",-87.666496,41.903355,"Division","Division (Blue Line)","s_40320",0,0,1,0,0,0,0,0,0,0
"32",-87.628021,41.891665,"Grand","Grand (Red Line)","s_40330",1,1,0,0,0,0,0,0,0,0
"33",-87.658668,41.977984,"Berwyn","Berwyn (Red Line)","s_40340",0,1,0,0,0,0,0,0,0,0
"34",-87.649707,41.875474,"UIC-Halsted","UIC-Halsted (Blue Line)","s_40350",1,0,1,0,0,0,0,0,0,0
"35",-87.663619,41.943744,"Southport","Southport (Brown Line)","s_40360",1,0,0,1,0,0,0,0,0,0
"36",-87.62944,41.883164,"Washington","Washington (Blue Line)","s_40370",0,0,1,0,0,0,0,0,0,0
"37",-87.630886,41.885737,"Clark/Lake","Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","s_40380",1,0,0,0,1,0,1,0,1,1
"38",-87.817318,41.874257,"Forest Park","Forest Park (Blue Line)","s_40390",1,0,1,0,0,0,0,0,0,0
"39",-87.683337,42.058282,"Noyes","Noyes (Purple Line)","s_40400",0,0,0,0,0,1,1,0,0,0
"40",-87.745336,41.85182,"Cicero","Cicero (Pink Line)","s_40420",1,0,0,0,0,0,0,0,1,0
"41",-87.640984,41.875539,"Clinton","Clinton (Blue Line)","s_40430",0,0,1,0,0,0,0,0,0,0
"42",-87.694774,41.854109,"California","California (Pink Line)","s_40440",1,0,0,0,0,0,0,0,1,0
"43",-87.624342,41.722377,"95th/Dan Ryan","95th/Dan Ryan (Red Line)","s_40450",1,1,0,0,0,0,0,0,0,0
"44",-87.633924,41.888969,"Merchandise Mart","Merchandise Mart (Brown & Purple Lines)","s_40460",1,0,0,1,0,0,1,0,0,0
"45",-87.659458,41.87592,"Racine","Racine (Blue Line)","s_40470",0,0,1,0,0,0,0,0,0,0
"46",-87.744698,41.886519,"Cicero","Cicero (Green Line)","s_40480",1,0,0,0,1,0,0,0,0,0
"47",-87.647578,41.891189,"Grand","Grand (Blue Line)","s_40490",0,0,1,0,0,0,0,0,0,0
"48",-87.6278,41.8837,"Washington","Washington (Red Line)","s_40500",0,1,0,0,0,0,0,0,0,0
"49",-87.618327,41.795172,"Garfield","Garfield (Green Line)","s_40510",1,0,0,0,1,0,0,0,0,0
"50",-87.68356,42.05416,"Foster","Foster (Purple Line)","s_40520",0,0,0,0,0,1,1,0,0,0
"51",-87.653131,41.932732,"Diversey","Diversey (Brown & Purple Lines)","s_40530",1,0,0,1,0,0,1,0,0,0
"52",-87.657588,41.964273,"Wilson","Wilson (Red & Purple Lines)","s_40540",1,1,0,0,0,0,0,0,0,0
"53",-87.729229,41.952925,"Irving Park","Irving Park (Blue Line)","s_40550",0,0,1,0,0,0,0,0,0,0
"54",-87.627596,41.878153,"Jackson","Jackson (Red Line)","s_40560",1,1,0,0,0,0,0,0,0,0
"55",-87.69689,41.921939,"California","California (Blue Line)","s_40570",0,0,1,0,0,0,0,0,0,0
"56",-87.75669201,41.85177331,"54th/Cermak","54th/Cermak (Pink Line)","s_40580",1,0,0,0,0,0,0,0,1,0
"57",-87.677437,41.909744,"Damen","Damen (Blue Line)","s_40590",0,0,1,0,0,0,0,0,0,0
"58",-87.733258,41.853751,"Kostner","Kostner (Pink Line)","s_40600",1,0,0,0,0,0,0,0,1,0
"59",-87.783661,41.887159,"Ridgeland","Ridgeland (Green Line)","s_40610",0,0,0,0,1,0,0,0,0,0
"60",-87.631412,41.90392,"Clark/Division","Clark/Division (Red Line)","s_40630",1,1,0,0,0,0,0,0,0,0
"61",-87.626098,41.882023,"Madison/Wabash","Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)","s_40640",0,0,0,1,1,0,0,0,0,0
"62",-87.649177,41.910655,"North/Clybourn","North/Clybourn (Red Line)","s_40650",0,1,0,0,0,0,0,0,0,0
"63",-87.652644,41.918217,"Armitage","Armitage (Brown & Purple Lines)","s_40660",1,0,0,1,0,0,1,0,0,0
"64",-87.687364,41.916157,"Western","Western (Blue Line - O'Hare Branch)","s_40670",1,0,1,0,0,0,0,0,0,0
"65",-87.626037,41.879507,"Adams/Wabash","Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)","s_40680",0,0,0,0,1,0,1,0,1,1
"66",-87.681602,42.041655,"Dempster","Dempster (Purple Line)","s_40690",0,0,0,0,0,1,1,0,0,0
"67",-87.754986,41.887163,"Laramie","Laramie (Green Line)","s_40700",1,0,0,0,1,0,0,0,0,0
"68",-87.635924,41.89681,"Chicago","Chicago (Brown & Purple Lines)","s_40710",1,0,0,1,0,0,1,0,0,0
"69",-87.605857,41.780309,"Cottage Grove","Cottage Grove (Green Line)","s_40720",1,0,0,0,1,0,0,0,0,0
"70",-87.63378,41.882695,"Washington/Wells","Washington/Wells (Brown, Orange, Purple & Pink Lines)","s_40730",1,0,0,0,0,0,1,0,1,1
"71",-87.685129,41.854225,"Western","Western (Pink Line)","s_40740",1,0,0,0,0,0,0,0,1,0
"72",-87.8089,41.98227,"Harlem","Harlem (Blue Line - O'Hare Branch)","s_40750",1,0,1,0,0,0,0,0,0,0
"73",-87.659202,41.993664,"Granville","Granville (Red Line)","s_40760",1,1,0,0,0,0,0,0,0,0
"74",-87.658493,41.969139,"Lawrence","Lawrence (Red Line)","s_40770",0,1,0,0,0,0,0,0,0,0
"75",-87.714842,41.853839,"Central Park","Central Park (Pink Line)","s_40780",1,0,0,0,0,0,0,0,1,0
"76",-87.629378,41.880703,"Monroe","Monroe (Blue Line)","s_40790",0,0,1,0,0,0,0,0,0,0
"77",-87.639302,41.910409,"Sedgwick","Sedgwick (Brown & Purple Lines)","s_40800",1,0,0,1,0,0,1,0,0,0
"78",-87.673932,41.875706,"Illinois Medical District","Illinois Medical District (Blue Line)","s_40810",1,0,1,0,0,0,0,0,0,0
"79",-87.859388,41.983507,"Rosemont","Rosemont (Blue Line)","s_40820",1,0,1,0,0,0,0,0,0,0
"80",-87.669147,41.857908,"18th","18th (Pink Line)","s_40830",1,0,0,0,0,0,0,0,1,0
"81",-87.678329,42.027612,"South Boulevard","South Boulevard (Purple Line)","s_40840",0,0,0,0,0,1,1,0,0,0
"82",-87.628196,41.876862,"Harold Washington Library-State/Van Buren","Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)","s_40850",1,0,0,1,0,0,0,0,0,0
"83",-87.701644,41.966046,"Francisco","Francisco (Brown Line)","s_40870",1,0,0,1,0,0,0,0,0,0
"84",-87.659076,41.990259,"Thorndale","Thorndale (Red Line)","s_40880",0,1,0,0,0,0,0,0,0,0
"85",-87.90422307,41.97766526,"O'Hare","O'Hare (Blue Line)","s_40890",1,0,1,0,0,0,0,0,0,0
"86",-87.672892,42.019063,"Howard","Howard (Red, Purple & Yellow Lines)","s_40900",1,1,0,0,0,0,0,0,0,0
"87",-87.630952,41.780536,"63rd","63rd (Red Line)","s_40910",1,1,0,0,0,0,0,0,0,0
"88",-87.725663,41.873797,"Pulaski","Pulaski (Blue Line)","s_40920",0,0,1,0,0,0,0,0,0,0
"89",-87.737875,41.78661,"Midway","Midway (Orange Line)","s_40930",1,0,0,0,0,0,0,0,0,1
"90",-87.644244,41.778943,"Halsted","Halsted (Green Line)","s_40940",1,0,0,0,1,0,0,0,0,0
"91",-87.724493,41.799756,"Pulaski","Pulaski (Orange Line)","s_40960",1,0,0,0,0,0,0,0,0,1
"92",-87.745154,41.871574,"Cicero","Cicero (Blue Line)","s_40970",0,0,1,0,0,0,0,0,0,0
"93",-87.806961,41.87349,"Harlem","Harlem (Blue Line - Forest Park Branch)","s_40980",0,0,1,0,0,0,0,0,0,0
"94",-87.625724,41.768367,"69th","69th (Red Line)","s_40990",1,1,0,0,0,0,0,0,0,0
"95",-87.630968,41.853206,"Cermak-Chinatown","Cermak-Chinatown (Red Line)","s_41000",1,1,0,0,0,0,0,0,0,0
"96",-87.6941,41.966115,"Rockwell","Rockwell (Brown Line)","s_41010",1,0,0,1,0,0,0,0,0,0
"97",-87.708541,41.929728,"Logan Square","Logan Square (Blue Line)","s_41020",1,0,1,0,0,0,0,0,0,0
"98",-87.66953,41.871551,"Polk","Polk (Pink Line)","s_41030",1,0,0,0,0,0,0,0,1,0
"99",-87.705408,41.853964,"Kedzie","Kedzie (Pink Line)","s_41040",1,0,0,0,0,0,0,0,1,0
"100",-87.69073,42.073153,"Linden","Linden (Purple Line)","s_41050",1,0,0,0,0,1,1,0,0,0
"101",-87.665317,41.839234,"Ashland","Ashland (Orange Line)","s_41060",1,0,0,0,0,0,0,0,0,1
"102",-87.706155,41.884321,"Kedzie","Kedzie (Green Line)","s_41070",1,0,0,0,1,0,0,0,0,0
"103",-87.618826,41.809209,"47th","47th (Green Line)","s_41080",1,0,0,0,1,0,0,0,0,0
"104",-87.627696,41.880745,"Monroe","Monroe (Red Line)","s_41090",0,1,0,0,0,0,0,0,0,0
"105",-87.625826,41.831677,"35th-Bronzeville-IIT","35th-Bronzeville-IIT (Green Line)","s_41120",1,0,0,0,1,0,0,0,0,0
"106",-87.648088,41.84678,"Halsted","Halsted (Orange Line)","s_41130",1,0,0,0,0,0,0,0,0,1
"107",-87.615546,41.78013,"King Drive","King Drive (Green Line)","s_41140",1,0,0,0,1,0,0,0,0,0
"108",-87.704406,41.804236,"Kedzie","Kedzie (Orange Line)","s_41150",1,0,0,0,0,0,0,0,0,1
"109",-87.641782,41.885678,"Clinton","Clinton (Green & Pink Lines)","s_41160",1,0,0,0,1,0,0,0,1,0
"110",-87.631157,41.79542,"Garfield","Garfield (Red Line)","s_41170",1,1,0,0,0,0,0,0,0,0
"111",-87.708821,41.965996,"Kedzie","Kedzie (Brown Line)","s_41180",1,0,0,1,0,0,0,0,0,0
"112",-87.669092,42.015876,"Jarvis","Jarvis (Red Line)","s_41190",0,1,0,0,0,0,0,0,0,0
"113",-87.65853,41.973453,"Argyle","Argyle (Red Line)","s_41200",0,1,0,0,0,0,0,0,0,0
"114",-87.653266,41.936033,"Wellington","Wellington (Brown & Purple Lines)","s_41210",1,0,0,1,0,0,1,0,0,0
"115",-87.652866,41.925051,"Fullerton","Fullerton (Red, Brown & Purple Lines)","s_41220",1,1,0,0,0,0,0,0,0,0
"116",-87.63094,41.810318,"47th","47th (Red Line)","s_41230",1,1,0,0,0,0,0,0,0,0
"117",-87.71906,41.94738,"Addison","Addison (Blue Line)","s_41240",1,0,1,0,0,0,0,0,0,0
"118",-87.685617,42.063987,"Central","Central (Purple Line)","s_41250",0,0,0,0,0,1,1,0,0,0
"119",-87.774135,41.887293,"Austin","Austin (Green Line)","s_41260",0,0,0,0,1,0,0,0,0,0
"120",-87.619021,41.816462,"43rd","43rd (Green Line)","s_41270",1,0,0,0,1,0,0,0,0,0
"121",-87.760892,41.970634,"Jefferson Park","Jefferson Park (Blue Line)","s_41280",1,0,1,0,0,0,0,0,0,0
"122",-87.713065,41.967901,"Kimball","Kimball (Brown Line)","s_41290",1,0,0,1,0,0,0,0,0,0
"123",-87.661061,42.001073,"Loyola","Loyola (Red Line)","s_41300",1,1,0,0,0,0,0,0,0,0
"124",-87.670907,41.943623,"Paulina","Paulina (Brown Line)","s_41310",1,0,0,1,0,0,0,0,0,0
"125",-87.65338,41.939751,"Belmont","Belmont (Red, Brown & Purple Lines)","s_41320",1,0,0,1,0,0,1,0,0,0
"126",-87.743574,41.961539,"Montrose","Montrose (Blue Line)","s_41330",0,0,1,0,0,0,0,0,0,0
"127",-87.631722,41.875568,"LaSalle","LaSalle (Blue Line)","s_41340",0,0,1,0,0,0,0,0,0,0
"128",-87.793783,41.886988,"Oak Park","Oak Park (Green Line)","s_41350",0,0,0,0,1,0,0,0,0,0
"129",-87.696234,41.88422,"California","California (Green Line)","s_41360",1,0,0,0,1,0,0,0,0,0
"130",-87.65884,41.983504,"Bryn Mawr","Bryn Mawr (Red Line)","s_41380",0,1,0,0,0,0,0,0,0,0
"131",-87.62659,41.867405,"Roosevelt","Roosevelt (Red, Orange & Green Lines)","s_41400",1,0,0,0,1,0,0,0,0,1
"132",-87.655214,41.896075,"Chicago","Chicago (Blue Line)","s_41410",0,0,1,0,0,0,0,0,0,0
"133",-87.653626,41.947428,"Addison","Addison (Red Line)","s_41420",1,1,0,0,0,0,0,0,0,0
"134",-87.624717,41.735372,"87th","87th (Red Line)","s_41430",1,1,0,0,0,0,0,0,0,0
"135",-87.674642,41.947028,"Addison","Addison (Brown Line)","s_41440",1,0,0,1,0,0,0,0,0,0
"136",-87.628176,41.896671,"Chicago","Chicago (Red Line)","s_41450",1,1,0,0,0,0,0,0,0,0
"137",-87.674868,41.954521,"Irving Park","Irving Park (Brown Line)","s_41460",1,0,0,1,0,0,0,0,0,0
"138",-87.688502,41.966163,"Western","Western (Brown Line)","s_41480",1,0,0,1,0,0,0,0,0,0
"139",-87.627479,41.874039,"Harrison","Harrison (Red Line)","s_41490",0,1,0,0,0,0,0,0,0,0
"140",-87.675047,41.961756,"Montrose","Montrose (Brown Line)","s_41500",1,0,0,1,0,0,0,0,0,0
"141",-87.652193,41.885586,"Morgan","Morgan (Green & Pink Lines)","s_41510",1,0,0,0,1,0,0,0,1,0
"142",-87.711327,41.884914,"Homan","Homan (Green Line)","s_41580",0,0,0,0,1,0,0,0,0,0
"143",-87.627813,41.884809,"Lake","Lake (Red Line)","s_41660",1,1,0,0,0,0,0,0,0,0
"144",-87.716523,41.884904,"Conservatory","Conservatory (Green Line)","s_41670",1,0,0,0,1,0,0,0,0,0
"145",-87.74722084,42.02624348,"Oakton-Skokie","Oakton-Skokie (Yellow Line)","s_41680",1,0,0,0,0,0,0,1,0,0
"146",-87.626402,41.853115,"Cermak-McCormick Place","Cermak-McCormick Place (Green Line)","s_41690",1,0,0,0,1,0,0,0,0,0
"147",-87.626189,41.88322,"Washington/Wabash","Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)","s_41700",1,0,0,1,1,0,0,0,0,0
